iter	Passed	Remaining
0	7	7391
1	14	7256
2	21	7226
3	27	6966
4	35	6974
5	41	6893
6	48	6946
7	54	6814
8	61	6799
9	66	6537
10	73	6568
11	79	6560
12	88	6711
13	95	6695
14	101	6684
15	112	6936
16	119	6902
17	125	6858
18	132	6822
19	138	6793
20	145	6785
21	151	6739
22	158	6738
23	163	6656
24	170	6662
25	175	6576
26	181	6532
27	188	6542
28	195	6530
29	201	6519
30	208	6509
31	214	6497
32	221	6479
33	225	6402
34	231	6386
35	238	6373
36	244	6364
37	251	6357
38	257	6357
39	264	6351
40	271	6346
41	278	6346
42	285	6347
43	291	6333
44	297	6323
45	304	6313
46	311	6325
47	318	6323
48	325	6323
49	332	6311
50	339	6308
51	345	6300
52	352	6291
53	358	6287
54	365	6280
55	372	6271
56	378	6263
57	385	6255
58	391	6245
59	398	6245
60	405	6236
61	412	6237
62	419	6239
63	425	6227
64	431	6209
65	438	6208
66	445	6204
67	454	6230
68	463	6253
69	471	6270
70	481	6305
71	493	6357
72	502	6380
73	514	6437
74	522	6442
75	529	6439
76	538	6449
77	545	6448
78	554	6461
79	561	6454
80	569	6466
81	576	6457
82	585	6468
83	592	6460
84	600	6459
85	607	6456
86	615	6460
87	622	6452
88	630	6456
89	637	6448
90	644	6440
91	652	6440
92	659	6431
93	667	6435
94	674	6428
95	683	6431
96	690	6424
97	698	6426
98	705	6424
99	714	6429
100	721	6426
101	729	6424
102	737	6421
103	745	6420
104	753	6419
105	760	6417
106	768	6415
107	776	6413
108	784	6410
109	791	6406
110	799	6406
111	807	6399
112	815	6399
113	822	6394
114	830	6393
115	838	6390
116	846	6385
117	853	6376
118	860	6372
119	867	6361
120	874	6349
121	880	6338
122	887	6327
123	894	6322
124	901	6310
125	909	6306
126	915	6293
127	922	6282
128	929	6274
129	937	6276
130	944	6266
131	951	6257
132	958	6248
133	964	6235
134	971	6224
135	981	6238
136	985	6209
137	992	6199
138	999	6189
139	1006	6180
140	1012	6167
141	1018	6152
142	1024	6142
143	1029	6118
144	1035	6107
145	1042	6099
146	1049	6088
147	1052	6060
148	1059	6053
149	1066	6043
150	1073	6034
151	1080	6025
152	1086	6014
153	1092	6004
154	1099	5994
155	1105	5983
156	1112	5972
157	1119	5964
158	1125	5953
159	1132	5943
160	1138	5931
161	1144	5919
162	1151	5911
163	1157	5902
164	1164	5892
165	1170	5881
166	1180	5889
167	1188	5884
168	1196	5881
169	1203	5874
170	1210	5866
171	1216	5856
172	1223	5846
173	1229	5836
174	1236	5827
175	1241	5812
176	1245	5789
177	1251	5779
178	1257	5769
179	1264	5760
180	1271	5751
181	1277	5742
182	1284	5733
183	1290	5724
184	1297	5714
185	1304	5706
186	1310	5698
187	1317	5689
188	1323	5680
189	1330	5671
190	1334	5650
191	1340	5642
192	1347	5633
193	1354	5626
194	1360	5616
195	1367	5607
196	1373	5598
197	1379	5589
198	1386	5580
199	1392	5571
200	1398	5560
201	1406	5555
202	1413	5548
203	1420	5542
204	1427	5534
205	1434	5527
206	1440	5518
207	1447	5509
208	1454	5503
209	1462	5503
210	1472	5505
211	1485	5522
212	1493	5518
213	1501	5515
214	1509	5509
215	1517	5506
216	1524	5502
217	1532	5497
218	1540	5492
219	1548	5489
220	1555	5484
221	1564	5481
222	1571	5475
223	1579	5471
224	1583	5454
225	1591	5449
226	1598	5444
227	1606	5439
228	1614	5434
229	1622	5430
230	1628	5422
231	1635	5414
232	1642	5406
233	1648	5397
234	1655	5389
235	1662	5380
236	1668	5372
237	1675	5365
238	1682	5357
239	1689	5349
240	1695	5340
241	1701	5330
242	1708	5321
243	1714	5312
244	1721	5303
245	1727	5295
246	1733	5285
247	1740	5276
248	1746	5268
249	1753	5260
250	1760	5252
251	1766	5243
252	1773	5234
253	1779	5226
254	1786	5219
255	1792	5208
256	1799	5201
257	1805	5193
258	1812	5185
259	1819	5177
260	1825	5169
261	1832	5161
262	1838	5152
263	1845	5144
264	1852	5137
265	1858	5129
266	1865	5121
267	1869	5106
268	1876	5098
269	1882	5090
270	1889	5083
271	1897	5079
272	1906	5077
273	1914	5071
274	1922	5067
275	1929	5061
276	1936	5055
277	1945	5051
278	1952	5045
279	1959	5039
280	1971	5043
281	1980	5041
282	1988	5036
283	1996	5032
284	2004	5027
285	2012	5023
286	2020	5019
287	2028	5015
288	2036	5011
289	2044	5006
290	2052	5000
291	2060	4995
292	2068	4991
293	2076	4986
294	2084	4981
295	2092	4976
296	2099	4970
297	2107	4964
298	2115	4960
299	2118	4944
300	2126	4938
301	2133	4931
302	2141	4926
303	2149	4922
304	2158	4917
305	2164	4908
306	2171	4902
307	2179	4895
308	2186	4888
309	2196	4888
310	2209	4894
311	2216	4888
312	2232	4900
313	2241	4897
314	2248	4890
315	2257	4885
316	2264	4878
317	2271	4872
318	2279	4866
319	2286	4858
320	2295	4854
321	2307	4858
322	2316	4855
323	2324	4848
324	2330	4841
325	2338	4834
326	2345	4826
327	2351	4818
328	2358	4810
329	2364	4801
330	2371	4793
331	2380	4790
332	2388	4784
333	2395	4776
334	2402	4768
335	2408	4759
336	2415	4751
337	2421	4743
338	2428	4734
339	2434	4726
340	2441	4717
341	2447	4709
342	2454	4700
343	2460	4692
344	2470	4690
345	2477	4682
346	2483	4673
347	2490	4665
348	2497	4657
349	2503	4649
350	2510	4641
351	2516	4633
352	2523	4624
353	2529	4616
354	2538	4611
355	2544	4603
356	2551	4596
357	2558	4587
358	2565	4579
359	2572	4573
360	2579	4565
361	2586	4557
362	2592	4549
363	2599	4542
364	2606	4534
365	2613	4526
366	2620	4519
367	2626	4511
368	2633	4503
369	2640	4496
370	2647	4489
